yeat,temperature,uncertainity,state,country,lang,lat
1823/11/01,26.363000000000003,3.053,Bombay,India,18.48N,72.68E
1823/12/01,25.675,2.047,Bombay,India,18.48N,72.68E
1824/01/01,24.674,1.446,Bombay,India,18.48N,72.68E
1824/02/01,24.116999999999997,2.515,Bombay,India,18.48N,72.68E
1824/03/01,25.795,1.651,Bombay,India,18.48N,72.68E
1824/04/01,27.484,2.115,Bombay,India,18.48N,72.68E
1824/05/01,28.573,1.459,Bombay,India,18.48N,72.68E
1824/06/01,28.776999999999997,2.642,Bombay,India,18.48N,72.68E
1824/07/01,28.243000000000002,3.127,Bombay,India,18.48N,72.68E
1824/08/01,26.421,1.638,Bombay,India,18.48N,72.68E
1824/09/01,27.031,1.625,Bombay,India,18.48N,72.68E
1824/10/01,26.27,1.662,Bombay,India,18.48N,72.68E
1824/11/01,27.342,1.75,Bombay,India,18.48N,72.68E
1824/12/01,27.045,2.69,Bombay,India,18.48N,72.68E
1825/01/01,24.677,2.515,Bombay,India,18.48N,72.68E
1825/02/01,24.316,1.645,Bombay,India,18.48N,72.68E
1825/03/01,25.633000000000003,2.112,Bombay,India,18.48N,72.68E
1825/04/01,27.835,2.289,Bombay,India,18.48N,72.68E
1825/05/01,28.57,1.3090000000000002,Bombay,India,18.48N,72.68E
1825/06/01,28.559,1.238,Bombay,India,18.48N,72.68E
1825/07/01,26.994,2.13,Bombay,India,18.48N,72.68E
1825/08/01,25.729,1.977,Bombay,India,18.48N,72.68E
1825/09/01,26.073,1.594,Bombay,India,18.48N,72.68E
1825/10/01,26.777,1.7519999999999998,Bombay,India,18.48N,72.68E
1825/11/01,27.821,1.812,Bombay,India,18.48N,72.68E
1825/12/01,25.421999999999997,1.4409999999999998,Bombay,India,18.48N,72.68E
1826/01/01,24.430999999999997,1.491,Bombay,India,18.48N,72.68E
1826/02/01,23.194000000000003,2.116,Bombay,India,18.48N,72.68E
1826/03/01,25.828000000000003,1.675,Bombay,India,18.48N,72.68E
